,Score,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,TPF
1101,70.66666666666667,25.51851851851852,56.48148148148148,6.481481481481482,19.962962962962962,13.148148148148149,18.666666666666668,9.037037037037036,23.22222222222222,13.88888888888889,14.407407407407407,7.148148148148148,3.6296296296296298,21.037037037037038
1102,66.6896551724138,22.75862068965517,56.10344827586207,7.931034482758621,24.413793103448278,13.241379310344827,17.93103448275862,9.827586206896552,22.689655172413794,13.89655172413793,12.758620689655173,6.448275862068965,2.6206896551724137,18.137931034482758
1103,71.29032258064517,24.677419354838708,57.064516129032256,9.451612903225806,26.64516129032258,12.483870967741936,17.93548387096774,9.580645161290322,23.483870967741936,12.935483870967742,13.838709677419354,5.967741935483871,2.3870967741935485,20.032258064516128
1104,72.3529411764706,25.294117647058822,55.205882352941174,6.382352941176471,19.676470588235293,15.382352941176471,22.88235294117647,10.029411764705882,26.264705882352942,12.529411764705882,14.147058823529411,6.411764705882353,5.470588235294118,19.0
1105,60.41935483870968,21.70967741935484,54.70967741935484,5.870967741935484,19.387096774193548,11.129032258064516,17.193548387096776,10.806451612903226,22.93548387096774,10.96774193548387,16.580645161290324,3.967741935483871,1.5806451612903225,16.322580645161292
1106,68.6774193548387,24.225806451612904,59.29032258064516,6.741935483870968,20.580645161290324,13.483870967741936,20.870967741935484,12.709677419354838,23.774193548387096,10.096774193548388,14.096774193548388,5.451612903225806,4.193548387096774,20.903225806451612
1107,73.3225806451613,25.870967741935484,56.903225806451616,5.709677419354839,15.516129032258064,15.870967741935484,21.032258064516128,11.612903225806452,25.258064516129032,12.516129032258064,11.741935483870968,4.709677419354839,2.935483870967742,16.258064516129032
1108,67.57142857142857,23.5,55.785714285714285,6.964285714285714,20.892857142857142,13.607142857142858,18.821428571428573,9.428571428571429,23.714285714285715,11.785714285714286,14.571428571428571,5.821428571428571,2.7142857142857144,19.535714285714285
1110,65.36666666666666,23.266666666666666,53.833333333333336,7.966666666666667,23.633333333333333,10.866666666666667,16.366666666666667,8.066666666666666,20.9,12.233333333333333,13.766666666666667,7.233333333333333,3.2666666666666666,18.366666666666667
1111,73.87096774193549,25.35483870967742,59.38709677419355,8.516129032258064,25.580645161290324,14.64516129032258,21.870967741935484,11.193548387096774,26.258064516129032,11.870967741935484,13.516129032258064,5.451612903225806,3.3225806451612905,18.903225806451612
1112,80.88235294117646,28.823529411764707,57.029411764705884,6.911764705882353,18.352941176470587,16.323529411764707,21.470588235294116,10.029411764705882,26.61764705882353,15.235294117647058,12.294117647058824,4.970588235294118,4.5588235294117645,17.5
1113,83.51612903225806,27.967741935483872,60.25806451612903,8.935483870967742,24.548387096774192,18.64516129032258,25.258064516129032,9.903225806451612,25.322580645161292,14.161290322580646,10.709677419354838,6.580645161290323,3.5806451612903225,18.93548387096774
1114,62.166666666666664,22.7,54.233333333333334,6.066666666666666,19.1,10.7,17.433333333333334,9.9,23.833333333333332,11.566666666666666,14.666666666666666,4.633333333333334,2.9,19.566666666666666
1115,65.91428571428571,23.285714285714285,53.22857142857143,6.2,18.857142857142858,13.142857142857142,19.457142857142856,7.9714285714285715,21.4,12.2,14.2,7.857142857142857,4.114285714285714,19.542857142857144
1116,81.08823529411765,28.970588235294116,60.6764705882353,7.794117647058823,19.441176470588236,15.352941176470589,22.647058823529413,10.176470588235293,24.58823529411765,14.470588235294118,11.0,6.235294117647059,4.617647058823529,20.205882352941178
1117,72.66666666666667,25.7,59.43333333333333,7.233333333333333,21.766666666666666,14.033333333333333,19.733333333333334,11.2,22.1,10.366666666666667,13.2,6.5,2.7333333333333334,18.533333333333335
1119,73.72413793103448,27.137931034482758,61.172413793103445,9.689655172413794,25.448275862068964,9.758620689655173,14.96551724137931,10.0,25.06896551724138,16.517241379310345,13.448275862068966,5.620689655172414,2.689655172413793,19.93103448275862
1120,83.375,27.125,61.78125,9.75,26.625,19.375,24.65625,12.125,26.03125,14.4375,12.25,7.4375,5.40625,19.875
1122,71.73333333333333,25.833333333333332,57.833333333333336,6.133333333333334,17.2,13.933333333333334,20.966666666666665,12.466666666666667,21.766666666666666,12.5,14.066666666666666,5.966666666666667,2.8666666666666667,20.033333333333335
1123,75.12903225806451,26.741935483870968,59.54838709677419,7.709677419354839,22.70967741935484,13.935483870967742,19.774193548387096,10.096774193548388,27.741935483870968,14.193548387096774,13.225806451612904,5.258064516129032,3.4193548387096775,17.387096774193548
1124,74.48387096774194,27.129032258064516,58.70967741935484,6.161290322580645,17.580645161290324,14.064516129032258,19.0,11.806451612903226,26.161290322580644,14.32258064516129,13.516129032258064,5.548387096774194,4.32258064516129,18.225806451612904
1125,77.63636363636364,27.303030303030305,56.15151515151515,11.454545454545455,30.454545454545453,11.575757575757576,15.666666666666666,7.818181818181818,26.515151515151516,16.03030303030303,12.424242424242424,4.878787878787879,2.484848484848485,16.09090909090909
1126,80.6,27.533333333333335,63.03333333333333,7.3,23.366666666666667,18.233333333333334,25.966666666666665,13.0,28.333333333333332,15.1,15.866666666666667,6.133333333333334,3.7333333333333334,21.166666666666668
1127,66.79310344827586,24.310344827586206,56.41379310344828,7.413793103448276,21.275862068965516,10.758620689655173,16.896551724137932,9.137931034482758,24.82758620689655,11.310344827586206,12.344827586206897,5.206896551724138,4.068965517241379,17.275862068965516
1129,77.46666666666667,27.366666666666667,59.166666666666664,9.4,24.8,13.333333333333334,18.066666666666666,9.866666666666667,28.4,13.133333333333333,13.4,5.533333333333333,2.1333333333333333,17.733333333333334
1130,76.79411764705883,27.147058823529413,60.0,8.647058823529411,23.88235294117647,13.852941176470589,18.735294117647058,10.558823529411764,26.558823529411764,14.264705882352942,12.705882352941176,5.029411764705882,3.176470588235294,16.294117647058822
1131,70.1,25.633333333333333,55.43333333333333,7.233333333333333,19.4,11.6,18.2,9.433333333333334,23.633333333333333,13.266666666666667,13.8,7.433333333333334,3.2,17.066666666666666
1132,74.1,25.2,61.0,7.3,21.3,16.4,22.3,11.566666666666666,26.533333333333335,12.766666666666667,12.8,5.7,2.6333333333333333,17.866666666666667
1133,67.0,23.0,53.71875,6.5625,18.40625,14.4375,20.28125,10.59375,24.65625,13.25,13.21875,6.375,4.0,18.96875
1135,75.92307692307692,25.5,59.73076923076923,6.884615384615385,21.423076923076923,18.03846153846154,24.115384615384617,11.0,24.923076923076923,12.5,13.615384615384615,6.384615384615385,2.923076923076923,20.846153846153847
1136,69.96774193548387,24.870967741935484,60.67741935483871,8.35483870967742,24.35483870967742,11.870967741935484,16.838709677419356,10.064516129032258,22.193548387096776,13.451612903225806,12.935483870967742,6.129032258064516,1.3870967741935485,19.387096774193548
1137,81.1470588235294,27.705882352941178,58.6764705882353,7.911764705882353,23.058823529411764,17.823529411764707,24.823529411764707,9.352941176470589,27.5,14.470588235294118,12.617647058823529,5.617647058823529,4.4411764705882355,18.58823529411765
1138,84.6969696969697,30.696969696969695,64.78787878787878,9.636363636363637,25.90909090909091,13.666666666666666,19.636363636363637,12.030303030303031,26.818181818181817,16.757575757575758,12.393939393939394,6.212121212121212,4.333333333333333,21.151515151515152
1139,79.12121212121212,29.21212121212121,61.84848484848485,8.181818181818182,23.0,12.515151515151516,16.242424242424242,9.212121212121213,24.78787878787879,14.0,11.181818181818182,6.7272727272727275,2.9393939393939394,18.242424242424242
1140,74.02941176470588,26.029411764705884,53.794117647058826,6.4411764705882355,18.294117647058822,15.529411764705882,20.61764705882353,6.823529411764706,25.705882352941178,15.294117647058824,11.558823529411764,6.411764705882353,3.764705882352941,16.823529411764707
1141,75.66666666666667,25.033333333333335,59.03333333333333,9.033333333333333,26.9,16.566666666666666,20.633333333333333,11.133333333333333,24.433333333333334,12.633333333333333,12.066666666666666,5.966666666666667,3.2666666666666666,16.733333333333334
1142,66.65517241379311,22.862068965517242,58.41379310344828,8.689655172413794,24.20689655172414,12.241379310344827,15.586206896551724,9.03448275862069,23.448275862068964,11.827586206896552,11.931034482758621,4.758620689655173,3.9310344827586206,18.655172413793103
1143,67.54838709677419,23.838709677419356,58.74193548387097,4.612903225806452,16.129032258064516,15.258064516129032,22.387096774193548,13.258064516129032,22.35483870967742,9.903225806451612,14.774193548387096,6.870967741935484,4.806451612903226,20.258064516129032
1144,73.35714285714286,25.178571428571427,54.642857142857146,8.821428571428571,23.428571428571427,14.178571428571429,18.607142857142858,6.785714285714286,24.928571428571427,13.25,12.107142857142858,6.357142857142857,3.8214285714285716,17.178571428571427
1145,76.28125,27.4375,58.78125,9.28125,26.40625,12.125,17.03125,10.21875,23.40625,16.9375,13.1875,6.8125,2.90625,18.84375
1146,80.28125,27.59375,61.15625,8.375,23.0625,16.71875,22.6875,9.96875,25.875,15.96875,13.90625,6.59375,4.96875,19.9375
1148,67.84375,24.625,54.375,6.1875,18.78125,12.40625,17.75,10.03125,25.28125,12.40625,14.78125,5.03125,3.34375,17.15625
1149,68.75,24.535714285714285,56.892857142857146,6.642857142857143,20.392857142857142,13.035714285714286,17.785714285714285,10.678571428571429,22.607142857142858,11.142857142857142,13.214285714285714,6.642857142857143,3.3214285714285716,16.75
1150,69.64285714285714,23.714285714285715,55.964285714285715,6.678571428571429,19.321428571428573,15.535714285714286,21.75,9.321428571428571,24.535714285714285,10.607142857142858,14.857142857142858,5.5,2.0714285714285716,17.892857142857142
