,TeamID,OppID,W,TScore,OScore,TFGM,TFGA,TFGM3,TFGA3,TFTM,TFTA,TOR,TDR,TAst,TTO,TStl,TBlk,TPF,OFGM,OFGA,OFGM3,OFGA3,OFTM,OFTA,OOR,ODR,OAst,OTO,OStl,OBlk,OPF,TgameScore,OgameScore,T_a_sun,T_a_ten,T_aac,T_acc,T_aec,T_big_east,T_big_sky,T_big_south,T_big_ten,T_big_twelve,T_big_west,T_caa,T_cusa,T_horizon,T_ivy,T_maac,T_mac,T_meac,T_mvc,T_mwc,T_nec,T_ovc,T_pac_twelve,T_patriot,T_sec,T_southern,T_southland,T_summit,T_sun_belt,T_swac,T_wac,T_wcc,O_a_sun,O_a_ten,O_aac,O_acc,O_aec,O_big_east,O_big_sky,O_big_south,O_big_ten,O_big_twelve,O_big_west,O_caa,O_cusa,O_horizon,O_ivy,O_maac,O_mac,O_meac,O_mvc,O_mwc,O_nec,O_ovc,O_pac_twelve,O_patriot,O_sec,O_southern,O_southland,O_summit,O_sun_belt,O_swac,O_wac,O_wcc
0,1104,1272,1,72.3529411764706,70.82352941176471,25.294117647058826,55.20588235294117,6.382352941176472,19.676470588235293,15.382352941176471,22.882352941176467,10.029411764705884,26.264705882352942,12.529411764705882,14.147058823529413,6.411764705882352,5.470588235294118,19.0,24.35294117647059,53.88235294117647,5.911764705882352,18.647058823529417,16.205882352941178,23.470588235294123,11.5,22.94117647058824,13.029411764705882,13.735294117647056,5.911764705882352,3.794117647058824,17.176470588235293,82,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1233,1107,0,79.84848484848484,73.3225806451613,28.24242424242424,61.12121212121213,9.666666666666666,24.90909090909091,13.696969696969695,18.545454545454547,8.515151515151516,25.303030303030305,15.93939393939394,11.666666666666664,6.787878787878787,3.060606060606061,17.303030303030305,25.87096774193548,56.903225806451616,5.709677419354839,15.516129032258064,15.870967741935484,21.032258064516128,11.612903225806454,25.258064516129032,12.516129032258064,11.741935483870966,4.709677419354839,2.9354838709677415,16.258064516129032,67,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1112,1319,1,80.88235294117645,65.03333333333333,28.823529411764714,57.029411764705884,6.911764705882352,18.352941176470583,16.323529411764707,21.47058823529412,10.029411764705884,26.617647058823533,15.235294117647056,12.294117647058822,4.970588235294118,4.5588235294117645,17.5,21.63333333333333,54.33333333333334,5.566666666666666,18.233333333333334,16.2,23.13333333333333,9.866666666666667,23.3,9.533333333333333,15.6,5.533333333333332,3.2,19.9,101,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1113,1226,1,83.51612903225806,73.07142857142857,27.967741935483872,60.25806451612904,8.935483870967742,24.548387096774192,18.645161290322577,25.258064516129032,9.903225806451612,25.322580645161292,14.161290322580646,10.709677419354838,6.580645161290323,3.5806451612903225,18.93548387096774,25.892857142857146,54.714285714285715,8.392857142857142,21.321428571428573,12.892857142857142,18.892857142857142,6.321428571428571,24.642857142857146,11.785714285714285,13.0,5.678571428571429,2.321428571428572,17.678571428571427,94,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1116,1359,1,81.08823529411767,76.2,28.970588235294123,60.67647058823529,7.794117647058822,19.44117647058824,15.352941176470587,22.64705882352941,10.176470588235292,24.588235294117645,14.470588235294118,11.0,6.235294117647059,4.617647058823528,20.205882352941178,26.7,57.5,9.133333333333333,24.566666666666666,13.666666666666664,17.7,8.2,21.63333333333333,16.1,13.6,6.933333333333334,2.4,16.833333333333332,95,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,1120,1313,1,83.375,71.33333333333333,27.125,61.78125,9.75,26.625,19.375,24.65625,12.125,26.03125,14.4375,12.25,7.4375,5.40625,19.875,25.6,59.63333333333333,7.7,20.8,12.433333333333335,18.666666666666668,11.8,25.566666666666666,13.466666666666667,15.166666666666664,6.033333333333332,3.2,21.433333333333334,102,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1124,1146,1,74.48387096774194,80.28125,27.12903225806452,58.70967741935484,6.161290322580645,17.580645161290324,14.06451612903226,19.0,11.806451612903226,26.161290322580644,14.32258064516129,13.516129032258064,5.548387096774193,4.32258064516129,18.225806451612907,27.59375,61.15625,8.375,23.0625,16.71875,22.6875,9.96875,25.875,15.96875,13.90625,6.59375,4.96875,19.9375,107,66,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1288,1127,0,73.06896551724137,66.79310344827586,25.41379310344828,60.793103448275865,4.965517241379311,15.241379310344827,17.275862068965516,23.75862068965517,13.344827586206893,24.37931034482759,12.448275862068966,13.620689655172415,7.241379310344827,2.7931034482758617,20.068965517241377,24.310344827586214,56.41379310344828,7.413793103448277,21.27586206896552,10.758620689655173,16.896551724137932,9.137931034482758,24.82758620689655,11.310344827586205,12.344827586206893,5.206896551724138,4.068965517241379,17.275862068965516,59,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1263,1130,0,65.36666666666666,76.79411764705883,23.43333333333333,58.23333333333333,6.7333333333333325,22.766666666666666,11.766666666666667,17.0,9.5,25.266666666666666,11.3,15.766666666666667,6.2333333333333325,2.966666666666667,19.7,27.14705882352941,60.0,8.647058823529411,23.882352941176467,13.852941176470587,18.735294117647054,10.558823529411764,26.558823529411764,14.264705882352944,12.705882352941178,5.029411764705882,3.1764705882352944,16.294117647058822,65,85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1132,1180,1,74.1,73.71875,25.2,61.0,7.3,21.3,16.4,22.3,11.566666666666665,26.53333333333333,12.766666666666667,12.8,5.7,2.6333333333333333,17.866666666666667,26.5625,60.46875,6.78125,21.09375,13.8125,19.21875,11.25,25.0625,11.34375,12.28125,5.28125,4.15625,17.53125,78,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1244,1139,0,71.67857142857143,79.12121212121212,26.17857142857143,58.42857142857143,5.214285714285714,14.142857142857142,14.107142857142858,20.392857142857142,10.142857142857142,22.0,14.392857142857142,13.785714285714285,7.071428571428571,3.0357142857142856,18.321428571428573,29.21212121212121,61.84848484848485,8.181818181818182,23.0,12.515151515151516,16.242424242424242,9.212121212121213,24.78787878787879,14.0,11.181818181818182,6.727272727272728,2.9393939393939394,18.24242424242424,64,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
